,palavra,ocorrencias
0,brasil,142
1,...,67
2,@jairbolsonaro,61
3,hoje,52
4,bolsonaro,52
5,sobre,51
6,vai,48
7,venezuela,48
8,presidente,46
9,pessoas,45
10,agora,42
11,ser,40
12,governo,40
13,eua,36
14,país,34
15,jb,33
16,todos,33
17,anos,33
18,ainda,32
19,the,32
20,imprensa,31
21,dia,29
22,armas,28
23,esquerda,27
24,fazer,27
25,nada,27
26,israel,26
27,bem,25
28,lula,25
29,parabéns,23
30,obrigado,23
31,sempre,23
32,brasileiros,23
33,maduro,22
34,entrevista,22
35,ver,22
36,novo,21
37,assim,21
38,verdade,21
39,momento,20
40,história,20
41,apoio,20
42,nunca,20
43,apenas,20
44,via,20
45,ano,20
46,ter,20
47,certamente,20
48,mundo,19
49,parte,19
50,trabalho,19
51,vida,19
52,@nicolasmaduro,19
53,pt,19
54,todo,18
55,povo,18
56,países,18
57,and,18
58,deus,18
59,onde,18
60,poder,18
61,ministro,18
62,américa,17
63,dizer,17
64,posse,17
65,tudo,17
66,sim,17
67,1º,17
68,repost,16
69,latina,16
70,aqui,16
71,cuba,15
72,alguém,15
73,estado,15
74,família,15
75,pessoa,15
76,pode,15
77,porque,15
78,eleição,15
79,davos,15
80,existe,14
81,médicos,14
82,jair,14
83,política,14
84,ditaduras,14
85,combate,14
86,menos,14
87,etc,14
88,tão,14
89,melhor,14
90,to,14
91,@rumbo_libertad,14
92,min,13
93,força,13
94,instagram,13
95,with,13
96,dar,13
97,paulo,13
98,bom,13
99,realidade,13
