,palavra,ocorrencias
0,bolsonaro,105
1,...,66
2,brasil,60
3,todos,54
4,deus,54
5,sempre,52
6,grande,47
7,parte,43
8,presidente,42
9,imprensa,35
10,pt,34
11,mídia,34
12,dia,32
13,sobre,30
14,sistema,30
15,muitos,29
16,governo,29
17,bem,29
18,psol,27
19,apenas,26
20,outros,25
21,ser,25
22,tudo,25
23,contra,24
24,vai,24
25,verdade,24
26,algo,22
27,dinheiro,22
28,qualquer,22
29,pai,22
30,jair,22
31,população,20
32,todo,20
33,fakenews,20
34,ainda,20
35,agora,19
36,@jairbolsonaro,18
37,porque,18
38,poder,17
39,jamais,17
40,sabemos,17
41,nada,17
42,ministro,16
43,país,16
44,pessoas,16
45,assim,16
46,ter,16
47,nunca,15
48,público,15
49,tentam,15
50,abraço,14
51,somente,14
52,bom,14
53,brasileiro,14
54,toda,14
55,hoje,13
56,trabalho,13
57,rio,13
58,diante,13
59,sendo,13
60,alguns,13
61,dizem,13
62,narrativa,13
63,jornalismo,13
64,tentando,13
65,desde,13
66,internet,13
67,pois,12
68,vamos,12
69,forte,12
70,esquerda,12
71,vão,12
72,sabe,12
73,diz,12
74,ai,12
75,obrigado,12
76,matéria,12
77,fim,11
78,pouco,11
79,pode,11
80,têm,11
81,fazer,11
82,pra,11
83,ver,11
84,notícia,11
85,boa,11
86,@bolsonarosp,11
87,gente,11
88,segue,11
89,parabéns,10
90,tipo,10
91,general,10
92,educação,10
93,dar,10
94,liberdade,10
95,tentativa,10
96,história,10
97,anos,10
98,claro,10
99,creio,9
