,palavra,ocorrencias
0,brasil,107
1,todos,91
2,governo,60
3,hoje,48
4,dia,40
5,ministro,38
6,país,35
7,bom,32
8,abraço,31
9,forte,28
10,bem,28
11,vamos,27
12,grande,27
13,estado,27
14,presidente,26
15,brasileiros,26
16,obrigado,25
17,boa,23
18,bolsonaro,22
19,sempre,22
20,desenvolvimento,22
21,deus,22
22,sobre,21
23,todo,20
24,economia,19
25,futuro,18
26,...,17
27,noite,16
28,brasileiro,16
29,tudo,16
30,segurança,16
31,fazer,15
32,via,15
33,trabalho,15
34,2019,15
35,ainda,14
36,missão,14
37,imprensa,14
38,novo,14
39,mundo,14
40,outros,14
41,cidadãos,14
42,saúde,14
43,posse,14
44,juntos,13
45,liberdade,13
46,parabéns,13
47,israel,13
48,ser,13
49,sendo,13
50,população,13
51,momento,13
52,nacional,13
53,general,13
54,presidência,12
55,república,12
56,após,12
57,consideração,12
58,dias,12
59,anos,12
60,ministros,12
61,confiança,11
62,jair,11
63,ministério,11
64,governos,11
65,indicação,11
66,agradeço,11
67,neste,11
68,contra,11
69,muitos,11
70,senhor,10
71,melhor,10
72,menos,10
73,além,10
74,2018,10
75,verdade,10
76,vida,10
77,apoio,10
78,presidente_eleito,9
79,pouco,9
80,the,9
81,of,9
82,tecnologia,9
83,segurança_pública,9
84,tempo,9
85,federal,9
86,investimentos,9
87,cargo,9
88,seguimos,9
89,pt,9
90,reunião,9
91,acima,9
92,diante,9
93,primeiro,8
94,onde,8
95,primeira,8
96,campanha,8
97,to,8
98,anteriores,8
99,desde,8
