"id","data","qtd_likes","qtd_retweets","texto"
"1,05668529737799E+018","2018-10-28 23:13:01",213778,52822,"BRASIL! 🇧🇷👍🏻"
"1,05668856802491E+018","2018-10-28 23:26:01",136932,29729,"Obrigado pela confiança! Vamos juntos mudar o Brasil! https://t.co/eeAdr0dc13"
"1,05668911669863E+018","2018-10-28 23:28:12",34350,5305,"Jair Bolsonaro fala pela primeira vez como Presidente eleito: https://t.co/zOavZ1SG7D"
"1,05671393962981E+018","2018-10-29 01:06:50",222521,44384,"Recebemos há pouco ligação do Presidente dos EUA, @realDonaldTrump nos parabenizando por esta eleição histórica! Manifestamos o desejo de aproximar ainda mais estas duas grande nações e avançarmos no caminho da liberdade e da prosperidade!"
"1,05671702714928E+018","2018-10-29 01:19:06",0,12615,"RT @MassaFelipe19: Que seja o início de um novo tempo para o nosso país.Que comece a caminhar rumo a uma nação justa, honesta e próspera! B…"
"1,05671708083641E+018","2018-10-29 01:19:19",0,19195,"RT @mauriciomacri: Felicitaciones a Jair Bolsonaro por el triunfo en Brasil! Deseo que trabajemos pronto juntos por la relación entre nuest…"
"1,05671744073708E+018","2018-10-29 01:20:45",0,6659,"RT @LucasMoura7: Que seja o início de um novo tempo e que, finalmente, o nosso país comece a caminhar rumo a uma nação justa, honesta e pró…"
"1,0567175714022E+018","2018-10-29 01:21:16",0,6379,"RT @filgmartin: O Brasil volta a ser uma nação, onde o Estado servirá ao povo, e não o povo ao Estado. O poder voltará a emanar efetivament…"
"1,05671762378902E+018","2018-10-29 01:21:29",0,12267,"RT @JanainaDoBrasil: Vida longa ao Presidente eleito! Que Deus o proteja, ilumine e guie na importante missão de unir esta nação!"
"1,05671847173051E+018","2018-10-29 01:24:51",50734,5041,"Valeu @lobaoeletrico ! 🎸👍🏻"
"1,05671891779471E+018","2018-10-29 01:26:37",47685,5992,"Parabéns a todo povo brasileiro! https://t.co/rj8YTgE6lH"
"1,05671923689315E+018","2018-10-29 01:27:53",0,7031,"RT @matteosalvinimi: 🔴Anche in #Brasile i cittadini hanno mandato a casa la sinistra! Buon lavoro al Presidente #Bolsonaro, l’amicizia fra…"
"1,05671971373939E+018","2018-10-29 01:29:47",0,8742,"RT @Almagro_OEA2015: Saludamos al pueblo brasileño por jornada electoral de hoy. Felicitamos al Presidente electo Jair Bolsonaro y aplaudim…"
"1,05672147287667E+018","2018-10-29 01:36:46",0,8819,"RT @ObamaMalik: .@jairbolsonaro CONGRATULATIONS O PRESIDENTE BOLSONARO!"
"1,0567239767293E+018","2018-10-29 01:46:43",41345,4735,"Vamos evoluindo sempre juntos, Luiz. Um forte abraço! https://t.co/dlPjGM9DVs"
"1,05690603476844E+018","2018-10-29 13:50:09",0,89774,"RT @realDonaldTrump: Had a very good conversation with the newly elected President of Brazil, Jair Bolsonaro, who won his race by a substan…"
"1,05697650556006E+018","2018-10-29 18:30:11",143168,20949,"Senhor Fernando Haddad, obrigado pelas palavras! Realmente o Brasil merece o melhor. https://t.co/OmgUMuasX4"
