,counts,%
@RenovaMidia:,12,7.142857142857142
@conexaopolitica:,7,4.166666666666666
@leandroruschel:,7,4.166666666666666
@BolsonaroSP:,7,4.166666666666666
@filgmartin:,6,3.571428571428571
@foIha_sp:,6,3.571428571428571
@republica_ctba:,5,2.976190476190476
@odiodobem:,5,2.976190476190476
@CarlosBolsonaro:,5,2.976190476190476
@jairbolsonaro:,4,2.380952380952381
@Ro_Moller:,4,2.380952380952381
@lsentoes:,4,2.380952380952381
@bernardopkuster:,4,2.380952380952381
@Jouberth19:,3,1.7857142857142856
@JoelAlexandreM:,3,1.7857142857142856
@BlogDoPim:,3,1.7857142857142856
@flaviogordon:,3,1.7857142857142856
@visaomacro:,2,1.1904761904761905
@SimoneRJ_BR:,2,1.1904761904761905
@PriscilaBCosta_:,2,1.1904761904761905
@pauloap:,2,1.1904761904761905
@odiodobem2:,2,1.1904761904761905
@alexandregarcia:,2,1.1904761904761905
@lobaoeletrico:,2,1.1904761904761905
@Rivotripa:,2,1.1904761904761905
@Clauwild1:,2,1.1904761904761905
@BonoroPistola:,2,1.1904761904761905
@est4dohir4mico:,2,1.1904761904761905
@paolucci40:,1,0.5952380952380952
@adrianohidalgo:,1,0.5952380952380952
@Esdrasteles2:,1,0.5952380952380952
@lourdesflintz:,1,0.5952380952380952
@odiodobemnews:,1,0.5952380952380952
@alexsanspacheco:,1,0.5952380952380952
@rsallesmma:,1,0.5952380952380952
@fidelsincero:,1,0.5952380952380952
@allantercalivre:,1,0.5952380952380952
@MovAvanteBrasil:,1,0.5952380952380952
@xicograziano:,1,0.5952380952380952
@thiagodev_:,1,0.5952380952380952
@JoseMedeirosMT:,1,0.5952380952380952
@AnaPaulaVolei:,1,0.5952380952380952
@WezakMoon:,1,0.5952380952380952
@Felipe_Meira_:,1,0.5952380952380952
@estadohir4mico:,1,0.5952380952380952
@RickSouza:,1,0.5952380952380952
@PortalMudaBR:,1,0.5952380952380952
@DamaresAlves:,1,0.5952380952380952
@ottoni3101:,1,0.5952380952380952
@AlexBRfour:,1,0.5952380952380952
@diguinhocoruja:,1,0.5952380952380952
@gaviaox108:,1,0.5952380952380952
@moura_101:,1,0.5952380952380952
@WinstonLing:,1,0.5952380952380952
@SocialistiPhone:,1,0.5952380952380952
@guzcartunista:,1,0.5952380952380952
@flaviomorgen:,1,0.5952380952380952
@247Barril:,1,0.5952380952380952
@BlogdoBlabla:,1,0.5952380952380952
@OlavoOpressor:,1,0.5952380952380952
@MarlyMace:,1,0.5952380952380952
@rodrigogurgel:,1,0.5952380952380952
@DaniloGentili:,1,0.5952380952380952
@AiltonBenedito:,1,0.5952380952380952
@zecarlosantos2:,1,0.5952380952380952
@roxmo:,1,0.5952380952380952
@CrisMenshova:,1,0.5952380952380952
@Damadeferroofic:,1,0.5952380952380952
@yolandacmorin:,1,0.5952380952380952
@BorrachinhaMMA:,1,0.5952380952380952
@carteiroreaca:,1,0.5952380952380952
@terca_livre:,1,0.5952380952380952
@marcofeliciano:,1,0.5952380952380952
@PauloMartins10:,1,0.5952380952380952
@gigzsss:,1,0.5952380952380952
@CarlaZambelli17:,1,0.5952380952380952
@escolasempartid:,1,0.5952380952380952
@edmilsonpapo10:,1,0.5952380952380952
@Lenysilva06:,1,0.5952380952380952
@heversonsantos5:,1,0.5952380952380952
@SnapBolsonaro:,1,0.5952380952380952
@recordtvoficial:,1,0.5952380952380952
@Tarik_mohad:,1,0.5952380952380952
@FatosEsquerda:,1,0.5952380952380952
@wesleymir:,1,0.5952380952380952
@LuisCaval1:,1,0.5952380952380952
