,counts,%
@CarlosBolsonaro:,28,13.333333333333334
@BolsonaroSP:,19,9.047619047619047
@planalto:,15,7.142857142857142
@odiodobem:,12,5.714285714285714
@RenovaMidia:,11,5.238095238095238
@republica_ctba:,9,4.285714285714286
@foIha_sp:,7,3.3333333333333335
@tarcisiogdf:,6,2.857142857142857
@ernestofaraujo:,5,2.380952380952381
@lsentoes:,4,1.9047619047619049
@conexaopolitica:,3,1.4285714285714286
@planejamentobr:,3,1.4285714285714286
@sensoinc:,3,1.4285714285714286
@exercitooficial:,3,1.4285714285714286
@filgmartin:,3,1.4285714285714286
@MinEconomia:,2,0.9523809523809524
@mdregional_br:,2,0.9523809523809524
@realDonaldTrump:,2,0.9523809523809524
@netanyahu:,2,0.9523809523809524
@jairbolsonaro:,2,0.9523809523809524
@BlogDoPim:,2,0.9523809523809524
@DamaresAlves:,2,0.9523809523809524
@matteosalvinimi:,2,0.9523809523809524
@ppinvestimentos:,2,0.9523809523809524
@portalfab:,2,0.9523809523809524
@MEC_Comunicacao:,2,0.9523809523809524
@ricardovelez:,2,0.9523809523809524
@odiodobem2:,2,0.9523809523809524
@VistaContra:,1,0.4761904761904762
@flaviogordon:,1,0.4761904761904762
@GiseleDaminell2:,1,0.4761904761904762
@JanainaDoBrasil:,1,0.4761904761904762
@RoseDBarros:,1,0.4761904761904762
@AnaPaulaVolei:,1,0.4761904761904762
@leandroruschel:,1,0.4761904761904762
@criticanac:,1,0.4761904761904762
@alexandregarcia:,1,0.4761904761904762
@xicograziano:,1,0.4761904761904762
@Astro_Pontes:,1,0.4761904761904762
@rsallesmma:,1,0.4761904761904762
@AviacaoGovBr:,1,0.4761904761904762
@bernardopkuster:,1,0.4761904761904762
@ludmilagrilo:,1,0.4761904761904762
@MinCidades:,1,0.4761904761904762
@StateDept:,1,0.4761904761904762
@tradutores_br:,1,0.4761904761904762
@portosdobrasil:,1,0.4761904761904762
@psl_mg:,1,0.4761904761904762
@Almagro_OEA2015:,1,0.4761904761904762
@gregory_barros:,1,0.4761904761904762
@LucasMoura7:,1,0.4761904761904762
@ItamaratyGovBr:,1,0.4761904761904762
@PanAmPost_es:,1,0.4761904761904762
@AmbJohnBolton:,1,0.4761904761904762
@MartinVizcarraC:,1,0.4761904761904762
@radiojovempan:,1,0.4761904761904762
@franciscomacsoa:,1,0.4761904761904762
@Mr_Couto:,1,0.4761904761904762
@minsaude:,1,0.4761904761904762
@recordtvoficial:,1,0.4761904761904762
@francediplo:,1,0.4761904761904762
@Min_Agricultura:,1,0.4761904761904762
@MassaFelipe19:,1,0.4761904761904762
@mmeioambiente:,1,0.4761904761904762
@MdicGov:,1,0.4761904761904762
@oiluiz:,1,0.4761904761904762
@JoelAlexandreM:,1,0.4761904761904762
@PauloMartins10:,1,0.4761904761904762
@ObamaMalik:,1,0.4761904761904762
@TVNBR:,1,0.4761904761904762
@MInfraestrutura:,1,0.4761904761904762
@IDF:,1,0.4761904761904762
@pauloap:,1,0.4761904761904762
@DireitaBrasil:,1,0.4761904761904762
@cocofarinas:,1,0.4761904761904762
@Clauwild1:,1,0.4761904761904762
@flaviomorgen:,1,0.4761904761904762
@AntonioLeitteRj:,1,0.4761904761904762
@RissoSimone:,1,0.4761904761904762
@MajorVitorHugo:,1,0.4761904761904762
@mauriciomacri:,1,0.4761904761904762
